Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
Greys,10,823.0173549,118432.6403,30-45,75546.29096,No,730.0384278,Yes,Female,After_16:00,,0.948055475,8270,510.0148117,45.70898288,5337.045768,784.7166997,86.53562842,22.58350752,3.73,58621.43943,Maybe,186366.2839,7.045014452,431.7016145,61.12134801,274.3391183,30,Military,5,82.01573871,0,Foot_or_bicycle,Industry_or_other,Yes,1,455.7098716
Browns,9,132.0222211,900.1113913,30-45,,Yes,154.7013995,Yes,Male,By_16:00,0.183398447,0.612290135,9336,,35.35259773,,724.1048906,93.74794723,11.46308823,6.664,12442.02176,Maybe,418.3511385,4.426009008,20.45363387,54.11028427,44.00740704,100,Education,12,742.8141785,3,Motorcycle_or_truck,Services_or_Retail,No,0,68.7877672
Turquoises,9,523.7062207,66711.8785,Below_30,30658.81381,No,655.6722492,Yes,Female,After_16:00,0.697430411,0.077136856,5197,391.2343434,10.03254424,4603.993572,793.069866,51.84368261,19.77964467,4.803,50001.25997,Yes,146040.5245,0.519391329,382.1524885,88.31679588,174.5687402,60,Financial,,163.2789456,0,Car,Public_Sector,Yes,0,530.6921825
Greens,4,429.0252222,43536.03708,30-45,20604.41299,No,769.8835574,Yes,Female,After_16:00,0.962852842,0.651193244,9539,471.8250461,84.36498018,3987.949226,900.5903921,1.851975569,21.72153416,0.461,57402.02135,No,92677.57218,2.740812276,304.4299134,10.51558217,143.0084074,60,Financial,11,236.2977417,1,Public_or_other,Services_or_Retail,Yes,0,629.5960491
Blues,1,1178.094328,42364.37089,30-45,154614.5033,No,928.9114609,Yes,Male,By_16:00,0.14119348,0.64546408,9473,840.8389851,3.834081488,2760.480487,679.9738645,,28.99722375,4.527,76524.02715,No,11638.14871,3.88060526,107.8802517,84.39403253,392.6981094,80,Healthcare,14,548.9548149,1,Motorcycle_or_truck,Industry_or_other,Yes,2,322.7366984
Turquoises,1,354.4682072,55054.31824,Below_30,14089.01272,No,670.6807148,Yes,Male,By_16:00,0.624419336,0.742733428,7080,399.0065664,56.79760054,5457.470635,89.47142842,62.38006428,19.97514872,2.92,52030.69365,Yes,217105.4422,2.382622799,465.9457502,90.98336247,118.1560691,60,Financial,11,110.7113126,1,Motorcycle_or_truck,Public_Sector,No,1,529.9604601
Whites,1,744.4054794,69115.885,Below_30,61829.19269,Yes,538.0411576,Yes,Female,After_16:00,0.506161149,0.170081164,3903,288.8179021,57.49887784,3363.048603,671.2586873,28.63698795,16.99464333,6.097,39352.17614,Maybe,77585.24461,3.982556136,278.5412799,25.80564877,248.1351598,100,Education,10,306.009959,2,Public_or_other,Industry_or_other,No,0,500.5018354
Violets,1,415.8134053,37502.14989,45_and_up,19359.80314,No,613.4059429,Yes,Female,After_16:00,0.071426186,0.510828422,5534,397.2975934,24.36850315,3500.290776,120.4660158,58.86565424,19.93232534,10.466,46907.42301,Maybe,73207.88622,9.865660532,270.5695589,21.83484358,138.6044684,90,Environment,15,254.9256156,0,Motorcycle_or_truck,Student_or_Unemployed,No,0,457.5623058
Turquoises,8,245.6078759,24797.1649,Below_30,6794.450257,No,,Yes,Male,After_16:00,0.781278513,0.017198139,4770,396.1081938,38.20666806,3821.088912,438.0422148,89.74903587,19.90246703,5.23,47843.22574,Maybe,91740.68766,8.251551439,302.8872524,86.25241811,81.86929196,100,Education,15,223.8508813,2,Motorcycle_or_truck,Public_Sector,Yes,0,478.4994324
Khakis,9,123.9596344,18736.07525,45_and_up,1758.652206,Yes,655.0212594,Yes,Female,By_16:00,0.218803311,0.117709216,8413,427.06316,22.30781938,5388.523832,682.0609695,45.67232903,20.66550653,1.587,52238.26882,Yes,205607.6079,8.353898125,453.4397512,80.3009992,41.31987812,100,Education,9,99.61908491,0,Foot_or_bicycle,Services_or_Retail,Yes,1,450.6408804
Reds,7,65.89685088,10692.33175,45_and_up,514.4539454,No,771.786778,Yes,Male,By_16:00,0.950329779,0.357513642,7530,462.9467616,85.19292234,5793.651971,148.9391511,89.61556808,21.51619766,4.47,59407.95726,No,236950.723,0.074547264,486.7758447,88.04299026,21.96561696,50,Other,11,119.5719071,0,Public_or_other,Hightech,No,0,612.9142162
Oranges,7,219.290658,41550.34256,Below_30,5426.251628,Yes,485.6577614,No,Female,By_16:00,0.006171186,0.958205033,8889,280.9248969,38.39336096,6246.13333,342.6708987,31.34732365,16.76081433,3.111,40232.46963,Yes,323110.7932,,568.4283537,52.71856324,73.09688599,50,Other,9,273.1129628,3,Car,Industry_or_other,Yes,0,351.9650378
Reds,1,906.2092421,107993.4142,45_and_up,91558.20202,Yes,757.4898636,Yes,Female,After_16:00,0.854546249,0.423774252,8134,510.1587458,91.39906673,4595.432682,904.398262,,22.586694,3.866,58969.80415,No,127814.4862,9.930314953,357.511519,94.76548764,302.0697474,40,Foreign_Affairs,10,145.0544316,2,Motorcycle_or_truck,Public_Sector,No,1,525.1916811
Browns,6,251.7434279,8888.547578,Below_30,7135.553751,No,205.1855776,Yes,Male,After_16:00,0.65610459,0.90202295,9530,152.9054575,50.81546044,1365.049798,980.5786295,86.10037479,12.36549463,6.47,16654.14344,Yes,11219.87011,7.439207663,105.9238883,3.816511133,83.91447596,90,Environment,15,651.7669411,0,Car,Student_or_Unemployed,No,0,113.9565539
Reds,5,385.619406,59894.58254,30-45,16661.0205,No,745.1537113,Yes,Male,By_16:00,0.381061369,0.103834321,7058,419.7818677,99.23883479,5499.177458,112.6962178,60.85343454,20.48857896,4.942,56258.57183,No,217120.0005,9.164661197,465.9613723,46.20817041,128.539802,50,Other,11,166.186734,1,Foot_or_bicycle,Hightech,Yes,1,641.5077864
Reds,2,671.9263854,115176.8621,Below_30,50398.98294,Yes,784.3895206,No,Male,By_16:00,0.804255589,0.531782329,7083,502.0461894,84.81504063,6146.479906,360.7510626,70.84452822,22.40638725,4.917,61837.46139,Yes,264441.4948,7.55088307,514.2387527,37.69071654,223.9754618,50,Other,9,63.88866175,,Car,Industry_or_other,No,0,562.2481496
Reds,9,167.4006914,29218.9681,45_and_up,3179.46595,No,820.2817932,No,Male,After_16:00,0.389282665,0.710509998,9412,520.2806725,3.925266396,6276.91393,874.1449807,22.75564827,22.80966182,2.588,64308.87365,Yes,274193.884,2.860625731,523.6352585,44.86082504,55.80023046,40,Foreign_Affairs,10,104.0991982,1,Public_or_other,Public_Sector,Yes,0,
Violets,3,33.41414487,697.1336245,Below_30,145.194168,Yes,285.9611597,Yes,Male,By_16:00,0.203865796,0.289598868,3211,101.8499052,11.12773477,829.6026673,23.24554278,70.69210284,10.0920714,12.789,17861.73923,Yes,3917.543863,7.207375921,62.59028569,11.11031284,11.13804829,90,Environment,15,604.3246664,4,Foot_or_bicycle,Public_Sector,Yes,0,
Pinks,9,656.2012407,157909.1291,30-45,48073.18578,No,905.439794,No,Male,After_16:00,0.252912773,0.984993542,7140,638.4491464,47.76561032,8496.137729,887.7269472,66.74658072,25.26755125,2.86,75246.22447,Maybe,,3.582289566,721.9239436,56.16070919,218.7337469,70,Social,,262.1396961,1,Motorcycle_or_truck,Public_Sector,Yes,0,517.2863358
Greens,1,609.6988634,61800.69933,Below_30,41516.86674,No,803.6018189,Yes,Male,By_16:00,0.49882457,0.735684018,8434,492.1560961,88.25938648,4025.192029,329.1525643,62.20154706,22.18459141,1.566,59733.59997,No,92469.50179,2.787065497,304.0879836,34.72155994,203.2329545,60,Financial,12,253.3869014,3,Foot_or_bicycle,Hightech,Yes,1,
Turquoises,7,72.063654,9841.927097,45_and_up,,No,620.3276267,Yes,Male,After_16:00,0.776293037,0.571751523,6380,389.3513162,37.65149466,4875.88334,93.59275736,46.42761508,19.73198713,3.62,48644.53571,Yes,167868.8975,8.00851966,409.7180708,96.38851986,24.021218,100,Education,14,148.8896029,3,Motorcycle_or_truck,Hightech,No,1,457.8792701
Yellows,1,87.13789724,16314.82972,Below_30,882.7140919,Yes,702.4600861,No,Female,After_16:00,0.870315599,0.826724084,9840,525.8410293,13.90546071,6668.582478,963.5106653,1.048249193,22.9312239,4.16,59575.58421,Yes,315495.7032,9.648169538,561.6900419,28.89070129,29.04596575,70,Social,10,167.8343974,2,Public_or_other,Public_Sector,No,2,346.0683109
Turquoises,8,,97030.48603,Below_30,50888.62063,Yes,622.8771973,Yes,Female,After_16:00,0.430532696,0.877027141,4506,400.8106861,59.27395534,5112.871618,96.24951589,78.76755274,20.02025689,5.494,49469.59387,Maybe,185868.7868,6.551385163,431.1250246,60.41347601,225.0634514,90,Environment,12,135.7114143,2,Motorcycle_or_truck,Hightech,Yes,0,438.0701548
Greens,9,410.1011727,42094.51291,45_and_up,,Yes,792.8607297,Yes,Male,After_16:00,0.883869039,0.912038681,5179,491.7513692,38.23800287,4062.829186,761.6693333,20.82439337,22.17546773,4.821,59271.56121,Yes,94822.5137,0.652998174,307.9326447,51.87766489,136.7003909,70,Social,13,237.2214887,2,Motorcycle_or_truck,Public_Sector,No,0,638.9824659
Browns,4,377.8065547,5830.456243,30-45,15995.69027,No,327.5887984,Yes,Female,After_16:00,0.815506461,0.856847555,5322,251.6631152,67.69337638,966.2977832,54.00085822,30.32053814,15.86389344,10.678,25357.3657,Maybe,2143.426586,3.11013181,46.29715527,47.11026838,125.9355182,80,Healthcare,14,601.5087751,1,Public_or_other,Industry_or_other,Yes,0,192.9245583
Khakis,5,276.9044723,28667.16041,45_and_up,8621.86669,No,562.7442554,Yes,Female,After_16:00,0.482375125,0.045344729,5363,379.1828116,2.172290743,3864.183327,15.9100187,50.54287815,19.47261697,4.637,44373.90623,Yes,96461.03608,5.627325673,310.5817704,65.28074748,92.30149077,60,Financial,5,254.311672,2,Public_or_other,Industry_or_other,Yes,0,380.8430959
Whites,3,205.4255292,34305.78044,30-45,4767.324957,Yes,753.2857409,No,Male,By_16:00,0.019710496,0.671966406,8156,488.9826755,95.45471289,5987.924032,915.6041327,29.53055997,22.11295266,1.844,,Yes,250996.8598,8.25190488,500.9958681,50.08068893,68.47517639,90,Environment,10,28.4428585,2,Public_or_other,Services_or_Retail,No,1,526.2034923
Browns,5,212.2068014,38.58514572,30-45,5084.260775,No,1.045657,Yes,Male,After_16:00,0.77516346,0.039594025,5421,0.878999359,1.874668337,7.212839769,7.785920985,98.47436426,0.937549657,10.579,88.79360018,Yes,0.297552909,4.106103068,0.545484105,43.97232688,70.73560048,70,Social,12,864.9720969,0,Public_or_other,Services_or_Retail,No,0,0.400018334
Turquoises,4,618.8996234,78133.25759,45_and_up,42775.93808,Yes,670.3998161,Yes,Female,By_16:00,0.886212008,0.965614257,4482,,75.83135073,4636.900326,251.3820331,21.91644176,20.60991283,5.518,51930.78641,No,143441.2086,1.125590845,378.7363312,98.86919043,206.2998745,60,Financial,8,142.7055533,2,Public_or_other,Services_or_Retail,Yes,0,500.4690537
Khakis,4,95.28199585,9958.940837,Below_30,1050.500524,Yes,562.7606564,Yes,Male,By_16:00,0.949587963,0.295638452,,374.9684486,62.23611685,3885.557877,236.5612998,60.23595892,19.36410206,1.036,44248.94233,Yes,98321.18926,0.715453927,313.5620979,84.41095299,31.76066528,70,Social,7,250.9304378,2,Public_or_other,Industry_or_other,No,4,387.8656857
Browns,1,627.6730145,1295.624389,Below_30,43994.04802,No,198.7712869,Yes,Female,After_16:00,0.452753082,0.821586217,5440,214.3560845,44.47105064,490.6372968,721.5070063,84.8287988,14.6409045,10.56,17494.41122,Yes,38.34721458,3.594809296,6.192512784,3.488033335,209.2243382,100,Education,12,751.7211175,1,Foot_or_bicycle,Services_or_Retail,No,0,10.46311928
Turquoises,8,106.6799423,14338.37654,Below_30,,No,,Yes,Female,By_16:00,0.309216012,0.84141038,6981,412.4893001,43.56148187,4857.14516,300.7894363,35.01333534,20.3098326,3.019,51655.18737,Maybe,162583.6717,1.43297869,403.216656,67.38684678,35.55998078,,Education,12,131.1366343,3,Foot_or_bicycle,Public_Sector,Yes,1,513.1026176
Browns,1,325.1339367,18046.25287,45_and_up,,No,650.0411209,Yes,Female,By_16:00,0.090082447,0.430336858,4296,457.2343638,67.4171142,2579.590466,541.2464577,21.82894049,21.38303916,11.704,49615.88896,No,27726.30404,3.33262526,166.5121739,28.11077773,108.3779789,70,Social,11,340.8903016,3,Motorcycle_or_truck,Student_or_Unemployed,No,0,443.7579523
Purples,6,299.4732001,7703.867084,45_and_up,10074.73524,No,64.06306669,Yes,Female,By_16:00,0.921819652,0.931075649,6851,34.7236969,,841.1892807,356.3189819,20.81345795,5.892681639,9.149,5244.195708,No,5955.855399,3.565719584,77.17418869,55.17042608,99.82440004,90,Environment,11,773.0420192,3,Car,Services_or_Retail,Yes,1,50.18864123
Khakis,8,524.6270795,61400.29287,45_and_up,30766.38375,Yes,623.1822016,Yes,Male,After_16:00,0.840182234,0.093694787,5890,412.854506,0.319599849,4336.791185,827.7598517,87.18064728,20.31882147,4.11,48956.3071,Yes,123276.9802,7.584712878,351.1082173,1.169816079,174.8756932,60,Financial,6,185.071546,3,Foot_or_bicycle,Public_Sector,Yes,0,433.0046489
Turquoises,8,836.9744302,125586.3888,Below_30,78125.23556,Yes,740.5588448,Yes,Male,After_16:00,0.227872196,0.762612913,3796,447.5837839,69.39865006,5396.60934,521.7656977,24.3674417,21.15617602,6.204,56924.22872,No,202629.7803,0.720965145,450.1441773,96.32155532,278.9914767,80,Healthcare,10,111.9496404,3,Car,Services_or_Retail,Yes,0,585.4380431
Turquoises,6,209.5869011,32274.8758,Below_30,4960.603313,Yes,727.1153655,Yes,Female,By_16:00,0.762313079,0.851865447,6738,471.1795914,54.14794201,5562.143477,855.6349627,93.52925627,21.70667159,3.262,57363.37157,Yes,213424.0693,9.758827845,461.9784295,14.85147078,69.86230037,100,Education,14,49.6414011,4,Foot_or_bicycle,Student_or_Unemployed,Yes,0,513.7117806
Greys,3,159.0611322,22205.41105,Below_30,2874.180796,No,672.9783998,Yes,Female,After_16:00,0.569922811,0.4452305,9806,419.5000885,11.88711284,5027.090143,619.8710448,39.44163111,20.48170131,2.194,52342.94137,No,175400.9756,5.554738212,418.8089966,4.965644935,53.02037739,30,Military,9,114.553706,1,Foot_or_bicycle,Hightech,No,0,507.094841
Whites,4,141.345734,13955.28979,Below_30,2276.961525,No,552.5366307,Yes,Female,After_16:00,0.293279297,0.118410647,7227,284.4995113,84.40689449,3530.946877,665.8306983,72.97189471,16.86711331,2.773,40071.18149,Maybe,87731.35095,3.984265609,296.1947855,27.86513686,47.11524467,70,Social,8,298.5215046,3,Motorcycle_or_truck,Student_or_Unemployed,No,0,533.7351839
Turquoises,3,550.164008,76358.24045,30-45,33824.54753,Yes,659.0698992,Yes,Male,After_16:00,0.321798457,0.804454703,9449,399.2558884,95.57081801,4962.265094,97.66060533,0.763102667,19.98138855,0.551,50891.54677,Yes,173368.4169,4.885388978,416.3753317,5.503052589,183.3880027,80,Healthcare,12,131.9281436,3,Motorcycle_or_truck,Public_Sector,Yes,0,516.2041329
Browns,3,272.8029091,1860.22741,45_and_up,8369.981773,No,37.80579672,Yes,Female,After_16:00,0.607303151,0.422228505,5282,38.59891102,55.49905342,281.7661035,932.8559588,70.01746024,6.212802188,10.718,3482.649283,No,418.4818177,8.71677547,20.45682814,64.41359848,90.93430304,90,Environment,15,831.1525739,2,Car,Services_or_Retail,Yes,1,2.042187964
Turquoises,1,330.6934826,41250.26989,30-45,12271.13999,Yes,629.1550174,Yes,Male,By_16:00,0.732691059,0.915678887,9577,372.4629706,48.99681311,4487.086466,845.6972216,3.323413385,19.29929974,0.423,47958.48052,Maybe,140037.654,6.477558282,374.2160525,53.64287749,110.2311609,80,Healthcare,11,179.602803,2,Foot_or_bicycle,Services_or_Retail,Yes,0,513.0334773
Browns,5,895.9119886,13051.48336,30-45,89492.89192,No,399.9279164,Yes,Female,After_16:00,0.58316724,0.684560411,6627,422.6311344,99.69148845,1282.296828,30.63926427,78.01761609,20.55799442,,35252.1688,Maybe,1909.992058,4.446416695,43.7034559,47.45118807,298.6373295,100,Education,12,659.3453325,1,Car,Industry_or_other,Yes,1,30.37909979
Pinks,,43.62869072,10584.99244,45_and_up,236.0387473,Yes,920.5491424,,Female,By_16:00,0.503600503,0.805387182,6046,661.4956921,1.96658494,8601.453516,637.7073547,97.83511602,25.71955855,3.954,76904.28731,No,529760.11,1.709973107,727.8462131,12.56874388,14.54289691,70,Social,8,279.3172927,4,Foot_or_bicycle,Services_or_Retail,No,0,504.8367964
Reds,8,437.5710993,92174.64268,30-45,21430.13114,No,796.7772391,No,Male,By_16:00,0.84790892,0.80426451,5966,501.8354775,70.45018792,7323.190879,735.0397613,5.127096269,22.4016847,6.034,63858.80713,Yes,399363.3207,9.115713851,631.9519924,71.81096794,145.8570331,40,Foreign_Affairs,8,146.6043144,1,Foot_or_bicycle,Industry_or_other,No,0,563.8602202
Blues,4,1515.939431,62197.43813,Below_30,255856.6862,Yes,610.818453,Yes,Male,By_16:00,0.848500074,0.107896166,9084,123.5250251,16.08273601,1477.919243,280.0704725,34.17793182,11.11418126,4.916,34391.99261,Maybe,15150.38971,0.265658647,123.0869193,48.5983951,505.3131436,60,Financial,10,713.5213636,1,Car,Services_or_Retail,Yes,0,974.674477
Purples,1,502.5351869,59908.44157,30-45,28237.69107,Yes,230.6419514,Yes,Male,After_16:00,0.918399181,0.57641381,3626,110.5864504,69.8440026,3797.545848,863.2009861,36.64755742,10.51600924,12.374,19312.8692,Yes,127904.4345,7.775140647,357.6372947,61.87492411,167.511729,60,Financial,10,517.2775146,3,Car,Industry_or_other,No,1,190.7008332
Reds,6,424.7314052,74033.65364,30-45,20195.66231,No,797.3602058,No,Female,By_16:00,0.013310106,0.296344506,8537,454.2226977,57.86627324,6137.655154,345.5604373,19.52199694,21.31250097,3.463,60695.7857,No,273446.347,4.115185491,522.9209759,29.89758002,141.5771351,50,Other,8,179.9705066,2,Car,Industry_or_other,Yes,0,672.5353607
Greens,8,592.1330803,61045.69243,Below_30,39165.33156,Yes,800.0250715,Yes,Male,By_16:00,0.015246656,0.596198357,3433,497.1606861,11.10479981,4087.15782,867.1024286,49.49427003,22.2971004,6.567,59826.67297,Maybe,95656.37294,1.204239861,309.2836448,0.077679753,197.3776934,,Financial,10,238.5725835,5,Motorcycle_or_truck,Hightech,No,1,643.3041792
Pinks,8,162.1285283,17976.13472,45_and_up,2984.671697,Yes,602.1920566,Yes,Female,After_16:00,0.724609294,0.782214108,9362,,63.7562617,4174.01178,448.6335325,95.26426368,20.58806642,0.638,48186.73867,Yes,110641.0419,9.556850574,332.6274822,40.9497852,54.04284276,80,Healthcare,7,222.3977079,3,Foot_or_bicycle,Services_or_Retail,No,1,374.8953546
Turquoises,10,91.76737545,13735.59962,45_and_up,976.2837026,Yes,661.96318,Yes,Male,By_16:00,0.579934104,0.750575359,9259,452.4191988,22.68967219,5395.192258,42.33983904,68.66911002,21.27014807,0.741,53481.72614,Maybe,201632.7779,1.711201735,449.035386,81.43004044,30.58912515,90,Environment,14,106.2968668,4,Foot_or_bicycle,Public_Sector,No,0,419.764725
Browns,7,251.6893727,14165.76916,30-45,7132.51205,No,206.8703577,Yes,Female,After_16:00,0.347839026,0.887075231,9970,192.3470343,73.85699782,2073.176464,516.8701364,84.69520279,13.86892333,6.03,19034.35015,Maybe,28509.72799,5.571484992,168.8482395,16.96310937,83.89645757,90,Environment,11,649.387596,2,Motorcycle_or_truck,Services_or_Retail,No,0,33.74640577
Greys,3,344.5053489,43169.4239,45_and_up,13311.93905,Yes,748.4113487,Yes,Female,After_16:00,0.909969133,0.248616249,4823,536.5764247,45.00606323,4832.405707,528.0420897,10.205053,23.16411934,7.177,59800.24558,Maybe,141319.8204,6.29701185,375.9252857,8.07661328,114.8351163,40,Foreign_Affairs,9,136.6967552,1,Foot_or_bicycle,Services_or_Retail,No,0,455.8000756
Greens,2,82.87795113,8480.395568,Below_30,800.8209597,Yes,800.7338515,Yes,Female,By_16:00,0.03324475,0.218022433,9596,514.6158496,35.48480861,4098.948838,64.96834802,96.97119249,22.68514601,0.404,60504.37822,No,,3.187287282,306.9717139,83.4380667,27.62598371,70,Social,13,224.5350285,1,Motorcycle_or_truck,Industry_or_other,No,2,613.7648309
Reds,5,624.4803414,84225.87991,30-45,43548.79308,Yes,759.6586007,Yes,Female,After_16:00,0.16523476,0.173812678,6108,486.6236678,75.73418256,5019.453805,650.4442997,27.20436084,22.05954822,5.892,58745.26523,No,163717.8679,9.454650313,404.6206469,33.00650001,208.1601138,40,Foreign_Affairs,7,114.7985491,1,Car,Services_or_Retail,No,0,562.4704699
Browns,2,166.0888199,760.3860785,30-45,3130.418062,Yes,281.4713542,Yes,Female,By_16:00,0.768104397,0.349863278,8619,258.7556945,64.85078146,654.8570717,247.9595833,63.42208856,16.08588495,7.381,23105.96075,No,188.6383655,2.651285219,13.73456827,35.96110626,55.36293997,100,Education,13,677.5953161,3,Motorcycle_or_truck,Public_Sector,Yes,1,94.43554475
Turquoises,1,773.5313359,100844.4665,30-45,66751.25795,No,728.597966,Yes,Male,After_16:00,0.534543446,0.15662258,7201,448.8391168,0.069899671,4808.746673,58.51871427,99.80907277,21.18582349,2.799,55690.42121,No,152964.5634,7.564058639,391.1068439,80.74723622,257.8437786,80,Healthcare,11,139.7328495,2,Car,Industry_or_other,No,0,571.0641529
Violets,9,342.3873035,11194.34059,Below_30,13149.58083,Yes,210.4742385,Yes,Female,By_16:00,0.195508628,0.994189995,5443,108.0867048,5.915100197,1197.022332,525.7555314,41.37326316,10.3964756,10.557,15070.21444,Maybe,9620.646085,5.05422743,98.08489224,46.13668593,114.1291012,80,Healthcare,10,633.3343772,3,Car,Public_Sector,No,0,206.7754299
Browns,8,423.2913935,1103.099285,45_and_up,20059.49756,No,603.5708832,Yes,Male,By_16:00,0.385158001,0.05980607,7413,455.4272795,10.27432566,989.0346945,299.2664825,16.23282167,21.34074224,8.587,45440.69698,Maybe,61.12133601,7.494577148,7.818013559,49.17440782,141.0971312,80,Healthcare,14,507.2173162,0,Motorcycle_or_truck,,No,,385.8090607
Pinks,2,183.7891603,20649.99908,Below_30,3824.424769,No,679.1055866,Yes,Female,After_16:00,0.891491297,0.932347237,3764,401.2044405,65.81182261,4173.118946,857.9187344,55.58261354,20.03008838,6.236,50905.02887,Maybe,113616.8634,5.43291236,337.0710065,35.98857641,61.26305343,100,Education,11,202.5249522,3,Public_or_other,Public_Sector,No,0,568.628979
