Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score,Vote
8.0,289.9422434,29482.151510000003,2.0,9447.37014,1.0,574.1307446000001,1.0,1.0,1.0,0.297399696,0.608627049,5892.0,387.6329483,64.05212802,3825.751175,319.35254810000004,33.05511309,19.68839628,4.1080000000000005,45155.2478,2.0,93054.60435,8.918591368,305.04852789999995,17.32247195,96.64741448,90.0,1.0,8.0,250.6789253,2.0,1.0,3.0,1.0,3.0,389.51247689999997,4.0
2.0,67.54049468,6417.979788000001,1.0,539.3711006,1.0,850.3666538999998,1.0,0.0,0.0,0.535675121,0.015927214,3496.0,539.6167339,33.63132083,3929.9587189999997,987.1151812999999,32.16864991,23.22965204,6.504,63480.971320000004,0.0,81266.34456,3.109494315,285.0725251,70.54764105,22.51349823,100.0,0.0,13.0,278.36677000000003,3.0,2.0,0.0,0.0,2.0,672.4086818,2.0
5.0,140.3460253,17696.64811,1.0,2245.338321,0.0,657.9383165,1.0,0.0,0.0,0.941887708,0.306690891,4417.0,434.64916239999997,8.585763955,4652.087629,869.5558747000001,97.68391179,20.84824123,5.582999999999999,51733.27897,0.0,143094.9492,2.214202851,378.2789304,87.19157579,46.78200842,70.0,7.0,11.0,144.44090409999998,,3.0,1.0,1.0,0.0,457.8523546,9.0
7.0,775.1499868,94367.10342,2.0,67030.32798999999,1.0,629.5580663,1.0,1.0,0.0,0.925813558,0.895474742,6516.0,395.78187080000004,54.65468594,4443.777056,748.8050562999999,94.08679355,19.89426729,3.484,48765.59577,0.0,133386.62099999998,9.166659873,365.2213315,45.25371941,258.3833289,60.0,2.0,12.0,172.3956686,0.0,0.0,3.0,0.0,1.0,473.6644988,9.0
2.0,1572.663161,147605.5273,0.0,275341.9341,1.0,913.1188972000001,1.0,0.0,0.0,0.227809962,0.705334798,7773.0,979.3260095,99.30860605,4774.363564,677.6937132,5.303927418,31.29418492,6.227,83296.93555,1.0,79282.31504,7.473070046,281.5711545,42.63330379,524.2210536,,4.0,11.0,,1.0,3.0,2.0,0.0,2.0,7.13674631,0.0
9.0,,158089.6484,1.0,41280.5743,0.0,1279.966279,0.0,0.0,0.0,0.027947299,0.033133422999999995,8470.0,876.3843857,48.99403916,9553.800943,520.2416403,59.73104895,29.60379006,7.53,102380.166,2.0,608561.0293,2.307402967,780.1032171,9.32920787,202.6522195,90.0,1.0,12.0,571.5531884,2.0,0.0,4.0,0.0,0.0,826.4200196,7.0
6.0,118.7087344,17449.34849,1.0,1615.321091,0.0,125.488125,1.0,0.0,1.0,0.28061123,0.876367035,3759.0,62.59973522,17.48825458,4534.988333,519.3894976,97.07296563,7.911999445,12.241,13656.941719999999,2.0,194462.3781,9.317475772,440.9788862,45.30184001,39.56957812,70.0,7.0,10.0,630.2472842999999,2.0,3.0,1.0,0.0,0.0,50.10094928,7.0
5.0,108.56838049999999,10564.018740000001,1.0,1355.866487,1.0,318.32377410000004,1.0,0.0,0.0,0.024555492,0.364843164,7508.0,131.9613192,49.60494072,3183.009768,59.71188261,88.00089809,11.48744181,8.492,23356.26857,1.0,85210.6967,6.840194687,291.908713,29.10394354,36.18946016,90.0,1.0,15.0,451.79603499999996,1.0,3.0,3.0,0.0,0.0,340.7354309,10.0
8.0,105.85062350000001,30598.68038,0.0,1290.211818,0.0,1205.33409,0.0,1.0,1.0,0.44931661700000003,0.316557194,9328.0,794.3133332,74.27078607,10260.85155,478.4478766,55.07914154,,6.672000000000001,96859.42166,2.0,752074.8451,3.2320801539999997,867.2224888000001,29.78565486,35.28354116,60.0,2.0,11.0,562.1424646,1.0,2.0,4.0,1.0,1.0,807.4596822000001,1.0
4.0,634.4444097999999,101588.9528,2.0,44945.89359,0.0,695.9059366,1.0,1.0,1.0,0.11275960300000001,0.7482175,6955.0,420.10599019999995,80.48079328,5643.893021,737.7767107000001,74.28756519,20.49648726,5.045,54184.3288,2.0,230753.5154,5.343174363999999,480.36810410000004,33.25491522,211.4814699,50.0,6.0,10.0,91.28234512,2.0,1.0,2.0,0.0,1.0,539.5474701,8.0
10.0,192.5587059,27423.385560000002,1.0,4194.059037,1.0,796.9180212,1.0,1.0,0.0,0.08855608599999999,0.880531237,9332.0,507.905704,15.12985507,5288.282824,663.8660196000001,73.65565072,22.53676339,0.6679999999999999,61561.2537,0.0,182540.12,3.442789565,427.2471416,89.70705047,64.1862353,100.0,0.0,12.0,119.2513993,3.0,3.0,1.0,0.0,1.0,594.1563468999999,9.0
3.0,1652.017778,169746.5503,0.0,303800.9771,1.0,496.64047080000006,1.0,0.0,1.0,0.635325033,0.10869494199999999,9264.0,298.02860830000003,81.74375251,3678.588516,803.1899394,81.67979685,17.2635051,4.736000000000001,38171.70475,0.0,95019.99212000001,9.712257141,308.2531299,79.77336564,550.6725928,90.0,1.0,12.0,297.568118,4.0,2.0,4.0,0.0,2.0,395.1788207,0.0
1.0,219.36248700000002,28103.676460000002,0.0,5429.776463,0.0,726.2878762,1.0,1.0,0.0,0.29918198100000004,0.137090753,7212.0,489.8496322,98.00482469,4823.156299,716.0868249,89.17052278,22.132546899999998,2.7880000000000003,57083.32483,2.0,147721.6198,2.033164019,384.3457035,9.093472292000001,73.120829,80.0,4.0,11.0,116.25497620000002,3.0,2.0,3.0,1.0,4.0,493.97727369999996,9.0
6.0,1346.876595,101361.6369,1.0,202023.0214,0.0,522.9356024,1.0,0.0,1.0,0.18274482399999997,0.826535839,5190.0,355.921563,28.03601676,2969.547445,597.6326494,46.36754061,18.86588357,8.81,40593.1634,2.0,50972.287939999995,8.729214808,225.77043199999997,25.734440399999997,448.9588651,70.0,7.0,9.0,339.91782830000005,2.0,2.0,2.0,0.0,1.0,360.05830510000004,12.0
9.0,754.9258167,130049.2558,1.0,63585.30736,1.0,713.0792985,0.0,1.0,1.0,0.035135667,0.8482209999999999,7330.0,465.1996781,54.37518777,6098.4272439999995,790.070402,63.46209527,21.56848808,2.67,57166.70989,1.0,267085.1225,7.7822740889999995,516.8027888,51.72902432,251.64193889999999,90.0,1.0,9.0,41.29685146,4.0,3.0,3.0,1.0,4.0,485.4386187,11.0
9.0,113.70347679999999,9785.000347,0.0,1484.399008,1.0,182.6187972,1.0,0.0,0.0,0.173049316,0.593437099,9215.0,95.27982598,43.54435222,2772.274992,852.7021007999999,99.04370571,9.76113856,6.785,15279.592980000001,1.0,66652.54099,0.171100588,258.171534,33.67629929,37.90115895,100.0,0.0,12.0,591.9223952000001,1.0,0.0,2.0,0.0,2.0,142.09960080000002,7.0
7.0,1085.377432,183804.8637,2.0,131265.5892,0.0,463.2761875,0.0,1.0,1.0,0.31701576,0.683426793,4107.0,280.1223661,59.30363964,5640.639574,832.5443167999999,56.42972686,16.73685652,9.892999999999999,38423.11756,2.0,258104.1175,3.9020341289999996,508.0394842,90.60770699,361.7924775,60.0,2.0,9.0,283.8143985,2.0,1.0,2.0,0.0,2.0,320.7242191,12.0
1.0,158.5490615,22775.2276,0.0,2855.939121,1.0,681.187635,1.0,0.0,0.0,0.417142136,0.582716601,3072.0,419.5752686000001,59.11127906,5148.585241,452.990887,79.2631476,20.48353653,6.928,52873.93561,2.0,185712.2747,5.411675497999999,430.94347039999997,30.76706971,52.84968717,100.0,0.0,12.0,108.0550321,2.0,1.0,1.0,1.0,2.0,520.9510923,9.0
4.0,570.8131631,182918.37699999998,0.0,36403.34519,0.0,1414.5840349999999,0.0,0.0,1.0,0.72317478,0.8518256940000001,5916.0,938.0139298,75.05168656,11489.59612,67.16321968,74.24068896,30.62701307,10.084,113199.0279,0.0,924206.9477,6.893727994,961.3568264,28.25091716,190.2710544,80.0,4.0,14.0,778.3528297,1.0,3.0,0.0,1.0,0.0,948.4716306,1.0
9.0,388.18663430000004,92066.14833,2.0,16882.60255,0.0,918.1042338999999,0.0,1.0,1.0,0.173607423,0.251228536,9655.0,662.8986116000001,60.32170744,8440.891370000001,910.1902361,49.62954128,25.7468175,0.345,76643.39791,0.0,506245.6471,9.406070076,711.5094147000001,81.30953903,129.39554479999998,60.0,2.0,5.0,266.9694083,3.0,3.0,3.0,1.0,0.0,500.6890842,6.0
1.0,578.7668686000001,87845.54031,2.0,37421.932089999995,1.0,333.0868151,1.0,0.0,0.0,0.542600324,0.7826728559999999,4550.0,266.0633954,57.74186843,5085.5426,511.7219605,94.67992319,16.31144982,11.45,31238.27616,0.0,207335.9553,8.235441451,455.34158089999994,21.5254402,192.9222895,80.0,4.0,11.0,468.809401,1.0,1.0,3.0,1.0,0.0,96.19120236,7.0
8.0,95.47987803,28810.692769999998,0.0,1054.760749,0.0,1024.3489359999999,0.0,1.0,0.0,0.563569887,0.154291255,6038.0,665.5229416,33.30618937,10383.43264,451.1815577,7.556271552999999,25.79773133,9.962,84034.1962,0.0,819457.0591,7.095398293,905.2386752,97.71278561,31.82662601,90.0,1.0,13.0,469.48622930000005,2.0,1.0,0.0,1.0,0.0,669.708843,1.0
1.0,191.1023284,30335.87157,0.0,4131.489657,0.0,648.6456084,1.0,0.0,1.0,0.47782624100000004,0.775073282,6741.0,428.6762266,55.72412587,5619.597658,661.8614838999999,18.94577744,20.70449774,3.259,,0.0,226789.7939,2.6607691730000003,476.2245205,84.05383888,63.70077614,70.0,7.0,7.0,102.4327269,2.0,1.0,0.0,1.0,0.0,430.42910489999997,4.0
1.0,243.4953288,35200.98631,0.0,6678.940124000001,1.0,628.3511732999999,1.0,0.0,0.0,0.128772896,0.507520787,9388.0,,12.58455841,5143.518956,304.9385203,40.77510170000001,20.08181508,0.612,49848.565689999996,1.0,188092.2518,7.176342271,433.6960362,37.24624526,81.16510959,60.0,2.0,10.0,129.9243946,3.0,3.0,0.0,1.0,0.0,444.0604046,9.0
6.0,501.49665139999996,129559.8467,1.0,28121.48682,1.0,1049.940338,0.0,0.0,1.0,0.428361899,0.249320298,7936.0,695.0249263,92.53675809999999,9140.441385,71.48626819,2.54353378,26.363325399999997,,84735.7032,2.0,600685.6891,2.103621617,775.0391533,34.92717464,167.1655505,100.0,0.0,16.0,388.90942739999997,2.0,3.0,2.0,0.0,0.0,693.8279779000001,10.0
2.0,276.7462864,53921.336129999996,0.0,8612.082875,1.0,820.2837599,0.0,0.0,0.0,0.308159266,0.540787048,5894.0,494.6136664,24.11890142,6834.437056000001,252.977279,29.94600469,22.23991156,6.106,64073.20054,0.0,341664.76700000005,6.478096347,584.5209722999999,92.09024718,92.24876212,50.0,6.0,7.0,157.97897680000003,0.0,1.0,1.0,0.0,0.0,633.3587257999999,8.0
4.0,80.15137409,7287.119240999999,2.0,750.5218767000001,0.0,733.336758,1.0,0.0,0.0,0.37153193100000004,0.801611215,8233.0,456.3000532,20.54046162,3640.1088950000003,550.0313444,44.89147447,21.36118099,1.767,54728.783820000004,2.0,74393.04192,2.3804481330000002,272.7508789,17.67045464,26.717124699999996,70.0,7.0,,248.5828753,2.0,0.0,0.0,1.0,1.0,590.7832445,2.0
1.0,1057.376427,240796.465,2.0,124589.6709,0.0,686.5590327000001,0.0,0.0,1.0,,0.036702318,5894.0,445.5640819,44.22274926,7723.031887,389.24274219999995,74.71860454,21.108388899999998,8.106,57252.04968,0.0,466749.0848,0.935676128,683.1903722999999,52.23199686,352.4588091,100.0,0.0,13.0,202.03184069999998,,3.0,2.0,1.0,4.0,434.46464349999997,0.0
6.0,168.389962,21645.37056,2.0,3216.705464,1.0,628.5929249,1.0,,1.0,0.75611352,0.6156230460000001,5487.0,376.3833376,17.58825493,4609.060181,167.5551075,18.98251008,19.40060148,4.513,48225.47533,0.0,148709.99599999998,0.5745745329999999,385.6293505,72.83897111,56.12998733,60.0,2.0,9.0,168.4290041,1.0,2.0,3.0,0.0,1.0,502.56997199999995,9.0
1.0,162.57005049999998,39269.36251,0.0,3000.747941,0.0,1291.659119,0.0,1.0,1.0,0.255094961,0.574807956,9484.0,921.058358,71.22553734,9088.721313,583.9007141,39.13488106,30.34894328,6.516,103954.9618,2.0,525132.7818,1.6464211819999999,724.6604597,96.72510789,54.19001683,70.0,7.0,9.0,553.5631057,4.0,3.0,1.0,0.0,5.0,780.4811027000001,7.0
10.0,227.1911281,31283.76052,1.0,5820.820229999999,1.0,674.1646731000001,1.0,1.0,0.0,0.075493397,0.7049259170000001,5816.0,403.3853115,21.81933846,4937.710169,609.0996817,48.23272491,20.08445447,4.184,51704.61302,2.0,170646.6154,8.900289163,413.0939547,68.98980117,75.73037603,60.0,2.0,12.0,135.8549411,4.0,3.0,1.0,1.0,0.0,539.6169947000001,9.0
8.0,411.91105530000004,34393.32065,2.0,18999.605630000002,0.0,792.0293962999999,1.0,1.0,1.0,0.9910036170000001,0.540398973,9024.0,495.9506187,72.38129133,3496.8100189999996,50.71876082,29.26708218,22.26994878,0.976,58683.133,2.0,62745.680029999996,2.754571191,250.4908781,42.06837532,137.3036851,60.0,2.0,12.0,286.74487189999996,0.0,0.0,3.0,0.0,1.0,641.2495033,2.0
7.0,891.8515919,154170.5312,2.0,88684.97963,0.0,820.6264681,0.0,1.0,0.0,0.672743573,0.253229377,8715.0,519.5160175,47.60296126,6225.002412,902.6164638,67.02058448,22.79289401,5.285,64232.73907,0.0,268942.8876,3.11803784,518.5970377,15.97664328,297.283864,80.0,4.0,12.0,105.8935634,1.0,1.0,4.0,1.0,1.0,602.4046972,12.0
8.0,949.5123986,139818.5049,0.0,100501.3703,0.0,803.6378063999999,1.0,0.0,0.0,0.84539389,0.075555068,4047.0,487.6154494,8.829060499999999,5392.819498,634.1571723999999,88.82386140000001,22.08201643,7.952999999999999,61267.1053,0.0,195150.8904,0.592272582,441.75885999999997,23.28834978,316.5041329,40.0,3.0,10.0,153.2559138,2.0,2.0,0.0,1.0,2.0,641.2160318,8.0
2.0,159.5574594,23441.68247,0.0,2891.917247,0.0,681.1188728999999,1.0,0.0,1.0,0.09000925800000001,0.50758479,9182.0,431.5000342,68.73058544,5270.5061590000005,167.35922060000001,30.70445943,20.7725789,0.818,,1.0,194261.0994,9.604419891000001,440.7506091,70.81496441,,60.0,2.0,12.0,90.60662484,2.0,1.0,0.0,0.0,0.0,497.38756229999996,9.0
1.0,683.3315846,123031.5698,2.0,52120.2277,1.0,449.1483983,0.0,1.0,1.0,0.8869207590000001,0.7037582640000001,5609.0,239.6438888,21.96708329,5880.687592,59.06874035,83.59510447,15.48043568,6.391,36608.8162,1.0,291751.1995,8.081474183,540.1399813999999,83.9321808,227.7771949,30.0,5.0,5.0,298.8360205,1.0,0.0,3.0,0.0,2.0,358.9098005,5.0
4.0,611.0702496,78637.46975,0.0,,0.0,644.1090094,1.0,0.0,0.0,0.323299336,0.455923452,5458.0,383.9040907,8.385125501000001,4628.451199,,58.08642861,19.59347061,4.542,49234.90967,1.0,149045.6451,8.455010797,386.0643018,12.51256084,203.6900832,90.0,1.0,14.0,163.8862892,1.0,3.0,1.0,0.0,0.0,519.9777953,9.0
,1025.187059,97298.6204,2.0,117130.4519,1.0,696.6248059999999,1.0,1.0,1.0,0.034167171,0.973182215,5024.0,513.0370379999999,93.71938265,3873.318963,439.05880210000004,28.41044744,22.65032093,8.976,55378.5544,2.0,81068.03448,1.141112747,284.7244887,2.1144086730000002,341.7290196000001,90.0,1.0,14.0,232.6171025,0.0,0.0,2.0,1.0,0.0,412.83804580000003,12.0
5.0,155.9584711,32528.48068,0.0,2764.546682,0.0,903.5060264,0.0,0.0,0.0,0.650235876,0.153380245,6903.0,646.6116045,14.41783016,7550.365981,751.8602628,96.42848284,25.42855884,5.0969999999999995,74279.34217999999,1.0,391518.3567,0.810084322,625.7142772000001,75.54368014,51.98615705,40.0,3.0,9.0,193.9636621,3.0,2.0,1.0,0.0,0.0,517.9683093,3.0
5.0,-274.5273569,-46543.07175,0.0,8292.409737,0.0,710.9960982999999,0.0,1.0,0.0,0.76827708,0.680542255,3287.0,509.7913932,89.13510058,6105.750402000001,691.0970967999999,75.86274918,22.57856048,10.713,58690.61614,1.0,258691.0101,6.897467421,508.6167616,78.22295183,-91.50911898,90.0,1.0,13.0,98.22548121,0.0,0.0,4.0,1.0,0.0,402.64433660000003,12.0
8.0,413.05488019999996,57937.496620000005,2.0,19104.83319,1.0,640.4001820000001,1.0,1.0,1.0,0.706541358,0.18030631100000002,3498.0,410.3068153,92.9213807,5028.58933,232.94836490000003,2.269008453,20.25603158,6.502000000000001,50514.14131,1.0,177070.5949,0.927878269,420.7975699,80.80673364,137.6849601,90.0,1.0,14.0,126.78509070000001,3.0,2.0,0.0,1.0,0.0,458.08858260000005,9.0
6.0,509.19942530000003,74114.2259,0.0,28989.07255,1.0,677.8268257,1.0,0.0,0.0,0.569488998,0.9978240009999999,8313.0,436.45169000000004,57.74332362,5239.418083,342.00041580000004,82.62353088,20.89142623,1.6869999999999998,53441.54745,0.0,190664.5065,4.275516276,436.65147029999997,85.92519899999999,169.7331418,60.0,2.0,8.0,91.38028844,2.0,0.0,1.0,0.0,1.0,482.7103153,9.0
3.0,245.89862369999997,28383.68002,1.0,6810.425447,0.0,664.9351965,1.0,0.0,0.0,0.036096737000000004,0.209635453,4724.0,426.94909299999995,27.84035525,4316.749616,924.8744342,64.67977455,20.6627465,5.276,51361.1898,2.0,119913.4002,4.155774331,346.285143,85.53942381,81.96620791,100.0,0.0,12.0,170.3731885,1.0,2.0,4.0,0.0,0.0,492.10499699999997,9.0
9.0,1651.732976,513950.9037,2.0,303696.336,1.0,619.8570983,0.0,1.0,0.0,0.41864760100000004,0.523275316,5379.0,247.8859324,58.334931499999996,9830.529561,34.24381721,0.032716268,15.74439368,8.621,49656.92306,0.0,871377.0124,4.323768439,933.4757696,75.13338509,550.5776588,80.0,4.0,12.0,512.712581,,0.0,1.0,0.0,0.0,606.8243643,0.0
3.0,230.924844,5077.445465999999,0.0,6012.117567,0.0,185.27674199999998,1.0,1.0,1.0,0.669171576,0.7429408940000001,5854.0,115.24351429999999,32.645786199999996,890.1101395,204.3363894,20.76185523,10.7351532,10.146,13789.06244,0.0,4351.026484,1.344767702,65.96231109,29.89529462,76.974948,70.0,7.0,12.0,677.480913,2.0,1.0,4.0,1.0,2.0,149.9226961,10.0
10.0,253.5267943,43194.77287,1.0,7236.2684260000005,0.0,699.5985716,0.0,0.0,0.0,0.671688325,0.155468319,4285.0,437.33763780000004,19.12119307,5985.942467,429.021175,37.07739727,20.9126191,5.715,55400.73843,0.0,261250.52300000002,8.907064465,511.12671910000006,59.04241067,84.50893145,70.0,7.0,9.0,64.38720533,1.0,2.0,3.0,1.0,1.0,509.7640513,9.0
5.0,425.211863,64409.61585,2.0,20241.196,0.0,936.7228604000001,1.0,0.0,1.0,,0.5636362570000001,3793.0,538.7317986,18.49264789,5621.759379,441.90277649999996,27.92171198,23.21059669,8.207,,0.0,206506.2415,6.741226758,454.4295782,1.7105276230000002,141.7372877,50.0,6.0,10.0,318.5079085,4.0,2.0,2.0,1.0,0.0,812.8425678,5.0
8.0,553.0411428,50253.514039999995,0.0,34178.181000000004,0.0,853.380775,1.0,0.0,1.0,0.384784588,0.8675187329999999,3164.0,537.9479166,85.05701942,3801.923437,917.8992482000001,83.78182414,23.19370425,6.836,63400.57946,0.0,74312.26496,7.918236048,272.60276039999997,15.44501453,184.3470476,100.0,0.0,12.0,294.92633060000003,1.0,1.0,1.0,1.0,,683.934748,2.0
1.0,189.48724209999997,30859.66999,0.0,4062.652961,1.0,681.0651656,1.0,0.0,1.0,0.887977527,0.100681996,7940.0,421.4588482,71.02568534,5728.682508,82.54011581,54.99665888,20.52946293,2.06,53655.65752,1.0,238706.978,0.52762104,488.5764812,59.93265882,63.16241403,60.0,2.0,7.0,79.57840845,3.0,0.0,4.0,0.0,0.0,505.78910830000007,11.0
,115.8286383,10600.63917,2.0,1539.3065960000001,0.0,829.3803247000001,1.0,1.0,1.0,0.8549102340000001,0.5111269970000001,8618.0,517.5355813,15.44783155,3780.6717299999996,434.66381050000007,77.01405298,22.74940837,1.382,61532.91308,0.0,75383.22476,6.648656991,274.5600568,87.82535722,38.6095461,90.0,1.0,11.0,284.27565,2.0,1.0,4.0,1.0,0.0,672.2845917999999,2.0
3.0,589.0950048,82227.36417,0.0,38765.57885,1.0,721.1784708,1.0,1.0,0.0,0.592284496,0.563075294,4230.0,466.2864782,57.66189247,5120.048499,394.05163030000006,35.33327058,21.59366755,5.77,56365.33739,1.0,175349.5142,2.420473644,418.7475543,79.20543042,196.36500159999997,60.0,2.0,10.0,90.05961293,1.0,3.0,4.0,0.0,0.0,519.2917701,9.0
4.0,1481.938154,460225.22799999994,0.0,244519.6118,0.0,414.6522764,0.0,0.0,1.0,0.002461726,0.736917165,4195.0,218.09812889999998,78.45102488,9752.88522,822.1706899000001,16.77450472,14.76814575,9.805,39045.2868,2.0,868006.9322,6.658473911000001,931.6688962000002,43.12960578,493.9793846,60.0,2.0,12.0,572.8086814,2.0,2.0,4.0,1.0,2.0,250.39414150000002,0.0
